# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Sun May  2 16:26:06 UTC 2021
#
At utterance begin, SIL accounts for 97.9% of phone occurrences, with duration (median, mean, 95-percentile) is (26,27.1,29) frames.
At utterance begin, SIL_S accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (75,89.1,181) frames.
At utterance end, SIL accounts for 99.5% of phone occurrences, with duration (median, mean, 95-percentile) is (30,31.5,44) frames.
Overall, nonsilence accounts for 89.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,24) frames.
Overall, SIL accounts for 9.7% of phone occurrences, with duration (median, mean, 95-percentile) is (29,36.0,77) frames.
Overall, a_I accounts for 8.4% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.6,14) frames.
Overall, aa_I accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.4,27) frames.
Overall, n^_E accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.6,27) frames.
Overall, j^_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.7,32) frames.
Overall, ng^_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.3,23) frames.
Overall, @@_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.8,28) frames.
Overall, ii_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.3,45) frames.
Overall, th_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.9,15) frames.
Overall, s_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,13.7,19) frames.
Overall, o_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,17) frames.
Overall, kh_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.4,17) frames.
Overall, i_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,16) frames.
Overall, k_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,14) frames.
Overall, t^_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.2,17) frames.
