# gunzip -c exp/tri1/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1/graph/ 
# Started at Sun May  2 17:11:21 UTC 2021
#
At utterance begin, SIL accounts for 93.3% of phone occurrences, with duration (median, mean, 95-percentile) is (41,75.7,219) frames.
At utterance begin, nonsilence accounts for 6.7% of phone occurrences, with duration (median, mean, 95-percentile) is (58,54.8,82) frames.
At utterance begin, t^_S accounts for 5.5% of phone occurrences, with duration (median, mean, 95-percentile) is (58,60.2,82) frames.
At utterance end, SIL accounts for 97.2% of phone occurrences, with duration (median, mean, 95-percentile) is (37,55.8,130) frames.
At utterance end, nonsilence accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (19,36.7,95) frames.
At utterance end, k^_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (19,27.5,21) frames.
Overall, nonsilence accounts for 81.3% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,25) frames.
Overall, SIL accounts for 18.7% of phone occurrences, with duration (median, mean, 95-percentile) is (32,55.8,189) frames.
Overall, a_I accounts for 8.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,15) frames.
Overall, aa_I accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.7,21) frames.
Overall, j^_E accounts for 5.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,15.9,29) frames.
Overall, ng^_E accounts for 4.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.1,26) frames.
Overall, n^_E accounts for 4.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.9,23) frames.
Overall, m_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.4,13) frames.
Overall, n_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,12) frames.
Overall, r_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,22) frames.
Overall, @@_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.2,27) frames.
Overall, k^_E accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,16) frames.
Overall, kh_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.0,17) frames.
Overall, z_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,14) frames.
Overall, th_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.9,13) frames.
Overall, o_I accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.7,21) frames.
Overall, ii_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.6,33) frames.
Overall, t^_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.4,21) frames.
Overall, l_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,14) frames.
Overall, s_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.9,17) frames.
Overall, w^_E accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.9,33) frames.
Overall, d_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,12) frames.
Overall, k_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.2,15) frames.
Overall, v_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.2,16) frames.
Overall, t_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.4,16) frames.
Overall, c_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,13) frames.
Overall, p^_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.4,17) frames.
Overall, j_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,16) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,14) frames.
Overall, t^_S accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (38,41.6,82) frames.
Overall, m^_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.2,25) frames.
Overall, e_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,12) frames.
Overall, iia_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.6,15) frames.
Overall, r_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,21) frames.
Overall, b_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,13) frames.
Overall, a_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.7,24) frames.
Overall, i_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,16) frames.
