# gunzip -c exp/tri1/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri1/graph 
# Started at Mon May 17 08:50:17 UTC 2021
#
At utterance begin, SIL accounts for 99.2% of phone occurrences, with duration (median, mean, 95-percentile) is (35,38.5,69) frames.
At utterance begin, nonsilence accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.2,16) frames.
At utterance end, SIL accounts for 92.2% of phone occurrences, with duration (median, mean, 95-percentile) is (28,40.4,108) frames.
At utterance end, nonsilence accounts for 7.8% of phone occurrences, with duration (median, mean, 95-percentile) is (26,35.9,117) frames.
At utterance end, ng^1_E accounts for 2.7% of phone occurrences, with duration (median, mean, 95-percentile) is (33,60.0,143) frames.
At utterance end, ng^2_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.2,25) frames.
At utterance end, z^0_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,23.7,28) frames.
At utterance end, j^1_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.3,18) frames.
At utterance end, j^4_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (18,25.0,27) frames.
At utterance end, n^0_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (16,19.7,17) frames.
Overall, nonsilence accounts for 86.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,23) frames.
Overall, SIL accounts for 13.3% of phone occurrences, with duration (median, mean, 95-percentile) is (28,33.7,91) frames.
Overall, a_I accounts for 9.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,16) frames.
Overall, aa_I accounts for 6.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,21) frames.
Overall, m_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,11) frames.
Overall, n_B accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,10) frames.
Overall, @@_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.9,25) frames.
Overall, kh_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,16) frames.
Overall, n^0_E accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.1,24) frames.
