# gunzip -c exp/tri1/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon May 17 08:48:31 UTC 2021
#
At utterance begin, SIL accounts for 93.4% of phone occurrences, with duration (median, mean, 95-percentile) is (32,39.0,82) frames.
At utterance begin, nonsilence accounts for 6.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,20) frames.
At utterance begin, kh_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,18) frames.
At utterance begin, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.8,39) frames.
At utterance end, SIL accounts for 93.9% of phone occurrences, with duration (median, mean, 95-percentile) is (30,44.8,114) frames.
At utterance end, nonsilence accounts for 6.1% of phone occurrences, with duration (median, mean, 95-percentile) is (20,22.2,43) frames.
At utterance end, ng^2_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (20,22.9,45) frames.
At utterance end, z^0_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.4,33) frames.
Overall, nonsilence accounts for 90.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,23) frames.
Overall, SIL accounts for 10.0% of phone occurrences, with duration (median, mean, 95-percentile) is (28,36.5,92) frames.
Overall, a_I accounts for 7.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,14) frames.
Overall, aa_I accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.5,29) frames.
Overall, ii_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.4,31) frames.
Overall, n^0_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.5,28) frames.
Overall, @@_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.4,28) frames.
Overall, n_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,11) frames.
Overall, z^0_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,20) frames.
Overall, s_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,18) frames.
Overall, m_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,12) frames.
Overall, i_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.7,15) frames.
Overall, th_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,13) frames.
Overall, z^0_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,10) frames.
Overall, kh_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,17) frames.
Overall, z^1_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.8,11) frames.
Overall, z^2_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.0,18) frames.
Overall, z_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,12) frames.
Overall, j^0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.3,31) frames.
Overall, k_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,16) frames.
Overall, o_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,16) frames.
Overall, t^1_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.6,22) frames.
Overall, r_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,16) frames.
Overall, ng^0_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.0,28) frames.
Overall, z^3_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.3,21) frames.
Overall, z^3_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,10) frames.
Overall, ng^2_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.9,28) frames.
Overall, ph_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,14) frames.
