# gunzip -c exp/tri2a/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon May 17 09:02:20 UTC 2021
#
At utterance begin, SIL accounts for 93.2% of phone occurrences, with duration (median, mean, 95-percentile) is (32,38.7,82) frames.
At utterance begin, nonsilence accounts for 6.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.7,21) frames.
At utterance begin, kh_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.6,20) frames.
At utterance begin, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,14.2,39) frames.
At utterance end, SIL accounts for 92.3% of phone occurrences, with duration (median, mean, 95-percentile) is (30,44.4,113) frames.
At utterance end, nonsilence accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (23,26.7,55) frames.
At utterance end, ng^2_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (28,33.7,69) frames.
At utterance end, z^0_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (20,21.6,42) frames.
At utterance end, j^1_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (22,22.2,33) frames.
At utterance end, z^3_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (20,23.8,50) frames.
Overall, nonsilence accounts for 90.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.7,23) frames.
Overall, SIL accounts for 9.9% of phone occurrences, with duration (median, mean, 95-percentile) is (28,35.9,91) frames.
Overall, a_I accounts for 7.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.2,14) frames.
Overall, aa_I accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.5,29) frames.
Overall, ii_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.6,30) frames.
Overall, n^0_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.6,29) frames.
Overall, @@_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.3,27) frames.
Overall, n_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,12) frames.
Overall, z^0_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.9,23) frames.
Overall, s_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.0,19) frames.
Overall, m_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,12) frames.
Overall, i_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,15) frames.
Overall, th_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,13) frames.
Overall, z^0_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.5,10) frames.
Overall, kh_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.7,17) frames.
Overall, z^1_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,11) frames.
Overall, z^2_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.8,21) frames.
Overall, z_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,12) frames.
Overall, j^0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.0,30) frames.
Overall, k_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,17) frames.
Overall, o_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.0,17) frames.
Overall, t^1_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.7,23) frames.
Overall, r_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.6,17) frames.
Overall, ng^0_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.3,29) frames.
Overall, z^3_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,22) frames.
Overall, z^3_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.0,10) frames.
Overall, ng^2_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.2,32) frames.
Overall, ph_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.2,15) frames.
Overall, d_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,12) frames.
Overall, t_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,11) frames.
Overall, m^0_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.8,27) frames.
Overall, uu_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.2,28) frames.
Overall, z^1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.0,21) frames.
Overall, xx_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.3,29) frames.
Overall, oo_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.2,26) frames.
Overall, k^1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.3,31) frames.
Overall, l_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.0,14) frames.
Overall, r_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.9,14) frames.
Overall, n_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,13) frames.
Overall, e_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.3,15) frames.
Overall, ng^4_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.6,29) frames.
Overall, b_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, p^1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,18) frames.
Overall, u_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.4,16) frames.
Overall, th_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,13) frames.
Overall, j^2_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.4,30) frames.
Overall, ch_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.7,18) frames.
