# gunzip -c exp/tri2b_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon May 17 09:18:12 UTC 2021
#
At utterance begin, SIL accounts for 92.8% of phone occurrences, with duration (median, mean, 95-percentile) is (31,38.0,82) frames.
At utterance begin, nonsilence accounts for 7.2% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,21) frames.
At utterance begin, kh_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.1,18) frames.
At utterance begin, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,14.1,38) frames.
At utterance end, SIL accounts for 89.5% of phone occurrences, with duration (median, mean, 95-percentile) is (29,43.8,112) frames.
At utterance end, nonsilence accounts for 10.5% of phone occurrences, with duration (median, mean, 95-percentile) is (25,28.8,60) frames.
At utterance end, ng^2_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (30,39.4,112) frames.
At utterance end, z^0_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (22,24.1,46) frames.
At utterance end, j^4_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (30,30.9,48) frames.
At utterance end, j^1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (22,23.1,35) frames.
At utterance end, t^1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (21,21.8,49) frames.
At utterance end, z^3_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (23,26.0,55) frames.
At utterance end, ng^0_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (22,26.0,48) frames.
At utterance end, m^0_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (26,27.7,46) frames.
Overall, nonsilence accounts for 90.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.9,24) frames.
Overall, SIL accounts for 9.7% of phone occurrences, with duration (median, mean, 95-percentile) is (27,35.1,90) frames.
Overall, a_I accounts for 7.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.3,14) frames.
Overall, aa_I accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.3,29) frames.
Overall, ii_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.3,29) frames.
Overall, n^0_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.8,30) frames.
Overall, @@_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.2,27) frames.
Overall, n_B accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, z^0_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.6,25) frames.
Overall, s_B accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,19) frames.
Overall, m_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.3,12) frames.
Overall, i_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.5,15) frames.
Overall, th_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.6,13) frames.
Overall, z^0_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.7,10) frames.
Overall, kh_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,17) frames.
Overall, z^1_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.2,11) frames.
