# gunzip -c exp/tri3b/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri3b/graph 
# Started at Mon May 17 09:54:23 UTC 2021
#
At utterance begin, SIL accounts for 99.0% of phone occurrences, with duration (median, mean, 95-percentile) is (34,37.7,68) frames.
At utterance begin, nonsilence accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.2,15) frames.
At utterance end, SIL accounts for 92.5% of phone occurrences, with duration (median, mean, 95-percentile) is (27,41.1,110) frames.
At utterance end, nonsilence accounts for 7.5% of phone occurrences, with duration (median, mean, 95-percentile) is (24,24.8,37) frames.
At utterance end, ng^1_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (24,31.2,40) frames.
At utterance end, j^4_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (26,26.8,29) frames.
At utterance end, j^1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (17,20.0,23) frames.
At utterance end, n^0_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (24,24.2,27) frames.
Overall, nonsilence accounts for 86.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.6,23) frames.
Overall, SIL accounts for 13.2% of phone occurrences, with duration (median, mean, 95-percentile) is (26,33.3,94) frames.
Overall, a_I accounts for 8.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
Overall, aa_I accounts for 7.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.1,20) frames.
Overall, m_B accounts for 3.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.4,12) frames.
Overall, n_B accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, n^0_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.5,28) frames.
Overall, kh_B accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.1,16) frames.
Overall, @@_I accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.0,25) frames.
Overall, j^4_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (25,22.1,32) frames.
Overall, ii_I accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,24) frames.
Overall, z^0_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.3,22) frames.
Overall, z_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.4,10) frames.
Overall, s_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,16) frames.
Overall, z^4_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.9,15) frames.
Overall, j^2_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,26) frames.
Overall, j^0_E accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,13.0,28) frames.
Overall, th_B accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.1,13) frames.
Overall, k_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,10) frames.
Overall, c_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.5,11) frames.
Overall, z^2_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.1,25) frames.
Overall, d_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,12) frames.
Overall, r_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.3,15) frames.
Overall, p_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,11) frames.
Overall, t_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.9,10) frames.
Overall, j^1_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.6,30) frames.
Overall, o_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.5,14) frames.
Overall, ng^2_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.1,29) frames.
Overall, t^1_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,15) frames.
Overall, ng^0_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.7,31) frames.
Overall, z^1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.2,22) frames.
Overall, @_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,15) frames.
Overall, z^0_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,9) frames.
Overall, z^1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.9,9) frames.
Overall, j_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.9,17) frames.
Overall, i_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.3,10) frames.
Overall, z^3_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,22) frames.
Overall, w^0_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.7,32) frames.
Overall, v_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.4,16) frames.
Overall, ng^1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (15,16.4,35) frames.
Overall, r_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,4.9,7) frames.
Overall, uu_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.8,25) frames.
Overall, e_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,11) frames.
