# gunzip -c exp/tri3b/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Mon May 17 09:50:20 UTC 2021
#
At utterance begin, SIL accounts for 93.2% of phone occurrences, with duration (median, mean, 95-percentile) is (30,37.2,81) frames.
At utterance begin, nonsilence accounts for 6.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,23) frames.
At utterance begin, kh_B accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.6,26) frames.
At utterance begin, k_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,14.6,39) frames.
At utterance end, SIL accounts for 86.1% of phone occurrences, with duration (median, mean, 95-percentile) is (28,42.9,110) frames.
At utterance end, nonsilence accounts for 13.9% of phone occurrences, with duration (median, mean, 95-percentile) is (26,30.5,62) frames.
At utterance end, ng^2_E accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (30,41.0,107) frames.
At utterance end, z^0_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (24,26.5,54) frames.
At utterance end, j^4_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (31,34.8,65) frames.
At utterance end, t^1_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (22,23.7,51) frames.
At utterance end, j^1_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (24,26.8,46) frames.
At utterance end, ng^0_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (25,29.6,55) frames.
At utterance end, z^3_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (24,27.6,55) frames.
At utterance end, m^0_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (27,29.2,47) frames.
At utterance end, ng^4_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (29,33.3,58) frames.
Overall, nonsilence accounts for 90.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.1,24) frames.
Overall, SIL accounts for 9.5% of phone occurrences, with duration (median, mean, 95-percentile) is (26,34.2,89) frames.
Overall, a_I accounts for 7.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,14) frames.
Overall, aa_I accounts for 6.0% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.3,28) frames.
Overall, ii_I accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.0,28) frames.
Overall, n^0_E accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.3,31) frames.
Overall, @@_I accounts for 2.1% of phone occurrences, with duration (median, mean, 95-percentile) is (11,12.3,27) frames.
Overall, n_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,13) frames.
Overall, z^0_E accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,10.4,27) frames.
Overall, s_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.1,20) frames.
Overall, m_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,13) frames.
Overall, i_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,15) frames.
Overall, th_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.6,13) frames.
Overall, z^0_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,10) frames.
Overall, kh_B accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (11,11.0,17) frames.
Overall, z^1_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,12) frames.
Overall, z^2_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,9.1,25) frames.
Overall, z_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.5,12) frames.
Overall, j^0_E accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.5,33) frames.
Overall, k_B accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,16) frames.
Overall, o_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.2,17) frames.
Overall, t^1_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.2,27) frames.
Overall, r_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,19) frames.
Overall, ng^0_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.4,32) frames.
Overall, z^3_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.8,27) frames.
Overall, z^3_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,10) frames.
Overall, ng^2_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,17.9,45) frames.
Overall, ph_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.8,15) frames.
Overall, d_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,15) frames.
Overall, t_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.1,11) frames.
Overall, m^0_E accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.7,31) frames.
Overall, uu_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.0,27) frames.
Overall, z^1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,8.9,25) frames.
Overall, xx_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.4,29) frames.
Overall, oo_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.9,25) frames.
Overall, k^1_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.3,32) frames.
Overall, l_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.0,17) frames.
Overall, r_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.8,13) frames.
Overall, n_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,10) frames.
Overall, p_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.1,13) frames.
Overall, e_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.2,15) frames.
Overall, ng^4_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,14.5,33) frames.
Overall, b_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.9,14) frames.
Overall, p^1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.4,20) frames.
