# gunzip -c exp/mono/decode/depth_stats_tmp.*.gz | steps/diagnostic/analyze_lattice_depth_stats.py exp/mono/graph 
# Started at Mon Oct 12 02:53:20 UTC 2020
#
The total amount of data analyzed assuming 100 frames per second is 0.0 hours
Overall, lattice depth (10,50,90-percentile)=(1,1,5) and mean=2.3
Nonsilence phones as a group account for 66.1% of frames, with lattice depth (10,50,90-percentile)=(1,1,4) and mean=1.8
Phone SIL accounts for 33.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,5) and mean=3.3
Phone w_B accounts for 7.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone n_B accounts for 5.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.6
Phone a_I accounts for 5.4% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.8
Phone aa_I accounts for 4.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,5) and mean=2.6
Phone n^_E accounts for 4.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.8
Phone th_B accounts for 3.7% of frames, with lattice depth (10,50,90-percentile)=(1,2,7) and mean=4.2
Phone ii_E accounts for 3.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=2.8
Phone u_I accounts for 3.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone j^_E accounts for 2.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.8
Phone r_B accounts for 2.1% of frames, with lattice depth (10,50,90-percentile)=(1,1,5) and mean=1.6
Phone t^_E accounts for 2.0% of frames, with lattice depth (10,50,90-percentile)=(1,2,4) and mean=2.4
Phone ng^_E accounts for 1.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,5) and mean=1.7
Phone d_B accounts for 1.5% of frames, with lattice depth (10,50,90-percentile)=(1,2,20) and mean=4.4
Phone r_I accounts for 1.4% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.4
Phone m_B accounts for 1.4% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone n_I accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.2
Phone l_I accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone phr_B accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone t_B accounts for 1.0% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.3
Phone kh_B accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone z_B accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone @_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone ch_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone ng^_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone p_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(2,2,2) and mean=2.0
Phone @@_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone j_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone pr_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone k_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone c_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone h_I accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone ng_I accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
# Accounting: time=0 threads=1
# Ended (code 0) at Mon Oct 12 02:53:20 UTC 2020, elapsed time 0 seconds
